"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","ERROR","2017-04-23T18:07:59.907-05:00","0.0","0.5"
"Lookup a definition","Looking up the definition of 'pear'","ERROR","2017-04-23T18:08:00.656-05:00","0.0","0.09"
